순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
638위,7월3주차,중견리더 과정(22주차),일본어,4.6346,4.6154,4.6923,4.6154,4.6154
640위,5월4주차,중견리더 과정(14주차),행정학,4.6346,4.6324,4.6471,4.6471,4.6119
641위,4월1주차,중견리더 과정(7주차),한국사,4.6344,4.625,4.6875,4.625,4.6
642위,2월5주차,예산회계 실무 과정,예산실무,4.6339,4.6429,4.6786,4.5,4.7143
643위,5월1주차,엑셀 활용 과정,데이터 시각화 및 데이터 분석 명령,4.6339,4.7143,4.5357,4.6429,4.6429
644위,4월4주차,시·군 팀장 리더십 과정,소통을 위한 대화기술 및 공감기법,4.6336,4.6842,4.65,4.6,4.6
645위,3월3주차,기간제 근로자 관리자 과정,기간제 근로관계 일반론,4.6333,4.6,4.7333,4.5333,4.6667
645위,3월3주차,기간제 근로자 관리자 과정,기간제 근로자 관리실무자 사례공유,4.6333,4.6667,4.6667,4.6,4.6
647위,4월4주차,시·군 팀장 리더십 과정,신임팀장 비전만들기,4.6329,4.65,4.65,4.6316,4.6
648위,6월2주차,재난관리 실무 과정,소통을 위한 대화기술 및 공감기법,4.6323,4.5833,4.6216,4.6757,4.6486
649위,3월2주차,신규 임용(후보)자 과정(1주차),바람직한 공직관 실천,4.632,4.6292,4.618,4.5393,4.7416
650위,3월2주차,신규 임용(후보)자 과정(1주차),경남의 도정과제공유(시군정책 이해를 통한 공감경남 만들기),4.632,4.6517,4.5618,4.6292,4.6854
651위,5월2주차,중견리더 과정(12주차),한국사,4.6316,4.5789,4.6842,4.6316,4.6316
651위,7월2주차,중견리더 과정(21주차),필라테스,4.6316,4.6316,4.6316,4.6316,4.6316
653위,4월4주차,중견리더 과정(10주차),정리수납,4.6308,4.6154,4.6538,4.6538,4.6
654위,6월4주차,중견리더 과정(19주차),정리수납,4.6307,4.7222,4.7222,4.6667,4.4118
655위,4월1주차,중견리더 과정(7주차),행정학,4.6305,4.6282,4.6709,4.6076,4.6154
656위,2월5주차,7·8급 승진자 역량향상 과정,보도자료 작성실무,4.6304,4.6522,4.6087,4.6087,4.6522
657위,7월1주차,신규공무원 역량향상 심화 과정,한글실무,4.63,4.64,4.72,4.52,4.64
658위,3월5주차,문화유산 이해 과정,근대문화역사길 투어,4.6296,4.6296,4.6296,4.6667,4.5926
659위,3월5주차,문화유산 이해 과정,한산도 제승당 탐방,4.6296,4.5926,4.6296,4.5926,4.7037
660위,5월1주차,7·8급 승진자 역량향상 과정,소통을 위한 대화기술 및 공감기법,4.6293,4.6207,4.6207,4.6552,4.6207
661위,6월2주차,중견리더 과정(17주차),행정학,4.6284,4.5946,4.6351,4.6351,4.6486
662위,7월4주차,공공언어 바르게 쓰기 과정,"호칭, 지칭, 경어 등 언어 예절",4.6282,4.6154,4.6154,4.6154,4.6667
663위,3월3주차,기간제 근로자 관리자 과정,기간제 근로자-공무원 소통강화,4.6274,4.6667,4.6,4.6429,4.6
664위,3월3주차,신규공무원 역량향상 심화 과정,한글실무,4.6265,4.6087,4.6522,4.6087,4.6364
665위,7월2주차,미래설계 과정(1주차),시간관리 생애설계,4.625,4.6667,4.6111,4.6111,4.6111
665위,3월3주차,신규공무원 역량향상 심화 과정,보도자료 작성,4.625,4.625,4.625,4.625,4.625
665위,7월1주차,업무용 오피스 활용 과정,한글 문서 편집 기본 기능과 작업 TIP,4.625,4.6,4.65,4.65,4.6
665위,7월1주차,업무용 오피스 활용 과정,일잘러를 위한 PPT 활용 TIP,4.625,4.65,4.6,4.65,4.6
665위,5월1주차,중견리더 과정(11주차),가죽공예,4.625,4.625,4.625,4.625,4.625
665위,5월2주차,중견리더 과정(12주차),라탄공예,4.625,4.625,4.625,4.625,4.625
665위,6월1주차,중견리더 과정(16주차),탁구,4.625,4.6,4.7,4.6,4.6
