순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
970위,6월1주차,중대재해 예방 실무 과정,산업재해분야(안전사고 예방교육 등 의무사항),4.4388,4.4405,4.4458,4.3929,4.4762
971위,4월4주차,신규공무원 역량향상 심화 과정,공사감독 및 현장점검 요령,4.4375,4.45,4.45,4.35,4.5
972위,6월1주차,"스마트 경남, 스마트 시티 과정",스마트시티 도시계획,4.4354,4.4286,4.5,4.4286,4.3846
973위,2월5주차,7·8급 승진자 역량향상 과정,보고서 작성 실무,4.4348,4.4783,4.4783,4.3913,4.3913
974위,7월2주차,6급 승진자 역량향상 과정,역량개발 이해,4.4342,4.4737,4.4737,4.3158,4.4737
974위,7월2주차,6급 승진자 역량향상 과정,역량에 대한 이해 모의과제:역할연기,4.4342,4.3684,4.4737,4.3684,4.5263
974위,5월4주차,중견리더 과정(14주차),헌법,4.4342,4.4474,4.4737,4.3816,4.4342
977위,7월1주차,중견리더 과정(20주차),회복탄력성,4.4336,4.4531,4.4531,4.3906,4.4375
978위,3월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기(평가 및 공유),4.4318,4.4205,4.4432,4.4091,4.4545
978위,6월2주차,신규공무원 역량향상 심화 과정,계약실무,4.4318,4.4091,4.5,4.3182,4.5
980위,3월5주차,재난관리 실무 과정,소통을 위한 대화기술 및 공감기법,4.4315,4.3871,4.3871,4.4516,4.5
981위,3월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기(상황훈련 및 리허설),4.431,4.4607,4.427,4.4045,4.4318
982위,7월2주차,중견리더 과정(21주차),개인정보 보호의 이해,4.4291,4.4516,4.4032,4.4262,4.4355
983위,4월2주차,중견리더 과정(8주차),사진,4.4274,4.4516,4.4516,4.3871,4.4194
984위,6월4주차,중견리더 과정(19주차),경남형 통합돌봄 개념과 정책의 이해,4.4271,4.4286,4.3889,4.4545,4.4364
985위,5월4주차,중견리더 과정(14주차),스토리텔링 기획,4.4271,4.4167,4.4444,4.4306,4.4167
986위,6월2주차,중견리더 과정(17주차),인문학과 통찰력,4.4261,4.4189,4.44,4.4267,4.4189
987위,3월3주차,중견리더 과정(4주차),영어,4.426,4.4375,4.4667,4.4,4.4
988위,6월4주차,중견리더 과정(19주차),국가 균형발전 우수사례,4.4255,4.4286,4.4082,4.4694,4.3958
989위,7월3주차,경남의 미래산업과 일자리 과정,일자리와 조직문화,4.425,4.4,4.4,4.4,4.5
989위,7월3주차,경남의 미래산업과 일자리 과정,사회적 경제기반 일자리 창출,4.425,4.4,4.5,4.4,4.4
991위,3월5주차,중견리더 과정(6주차),국내외 우주산업 동향과 전망,4.423,4.4,4.4875,4.4375,4.3671
992위,3월5주차,재난관리 실무 과정,경남도의 재난안전 역량수준 및 역량강화 방안,4.4226,4.4194,4.4839,4.3871,4.4
993위,5월4주차,중견리더 과정(14주차),프랑스 노르망디 인문학 여행,4.4211,4.4211,4.4211,4.4211,4.4211
994위,3월4주차,토목실무 과정,토목의 이해,4.4205,4.5,4.5,4.1818,4.5
995위,7월4주차,신규 임용(후보)자 과정(3주차),청탁금지법의 이해,4.4193,4.4143,4.4143,4.4058,4.4429
996위,3월5주차,중견리더 과정(6주차),적극행정,4.4193,4.3947,4.4474,4.3816,4.4533
997위,7월2주차,경남의 복지 과정,복지정책의 이해,4.419,4.5714,4.5714,4.0714,4.4615
998위,7월2주차,6급 승진자 역량향상 과정,생성형 AI의 직무적용,4.4174,4.4211,4.4444,4.3333,4.4706
999위,3월2주차,중견리더 과정(3주차),만성질환 예방,4.4172,4.3797,4.443,4.4304,4.4156
1000위,4월2주차,신규 임용(후보)자 과정(2주차),현장학습(도정과제 연계),4.4167,4.4524,4.4286,4.4048,4.381
1000위,4월2주차,중견리더 과정(8주차),통기타,4.4167,4.4167,4.4167,4.4167,4.4167
1002위,4월1주차,중견리더 과정(7주차),라탄공예,4.4167,4.3333,4.3333,4.5556,4.4444
1003위,4월4주차,저수지·댐 안전관리,소통을 위한 대화기술 및 공감기법,4.4138,4.4138,4.3103,4.4483,4.4828
1004위,7월3주차,신규 임용(후보)자 과정(2주차),일반서무 업무 알아보기,4.4128,4.4,4.4203,4.3944,4.4366
1005위,4월4주차,시·군 팀장 리더십 과정,[모의과제 실습] 역할수행,4.4125,4.4,4.3,4.5,4.45
1006위,4월1주차,신규공무원 역량향상 심화 과정,홍보템플릿 실무,4.4101,4.4737,4.3889,4.3333,4.4444
1007위,4월4주차,신규공무원 역량향상 심화 과정,보조금 실무,4.41,4.43,4.45,4.41,4.35
1007위,4월4주차,신규공무원 역량향상 심화 과정,행사실무,4.41,4.36,4.32,4.46,4.5
1009위,4월4주차,중견리더 과정(10주차),조직 내 갈등관리,4.4084,4.3974,4.4231,4.3846,4.4286
1010위,4월4주차,저수지·댐 안전관리,국내외 저수지 댐 안전관리 업무 사례연구,4.4083,4.3333,4.3667,4.4333,4.5
1011위,3월5주차,중견리더 과정(6주차),공직가치와 성장,4.4079,4.3947,4.4605,4.3289,4.4474
1012위,4월1주차,건축 실무 과정,부동산PF사업의 이해,4.4074,4.4444,4.5185,4.2222,4.4444
1013위,4월2주차,중견리더 과정(8주차),긴급복지신고의무자 교육,4.4057,4.4304,4.3974,4.4231,4.3718
1014위,3월4주차,중견리더 과정(5주차),지역과 문화콘텐츠,4.4024,4.4146,4.4146,4.3902,4.3902
1015위,5월2주차,중견리더 과정(12주차),영어,4.4017,4.4375,4.4375,4.4375,4.2941
1016위,7월2주차,중견리더 과정(21주차),통기타,4.4,4.4,4.4,4.4,4.4
1016위,4월4주차,지역특화 관광콘텐츠 개발 과정,AI로 배우는 관광콘텐츠 제작,4.4,4.4,4.4,4.4,4.4
1018위,4월2주차,신규 임용(후보)자 과정(2주차),보고서 작성 및 기획역량 강화,4.3997,4.4545,4.5,4.2955,4.3488
1019위,7월3주차,신규 임용(후보)자 과정(2주차),회계실무,4.3993,4.4225,4.4085,4.3662,4.4
1020위,5월5주차,중견리더 과정(15주차),헌법,4.3969,4.4265,4.3582,4.4058,4.3971
1021위,7월4주차,7·8급 승진자 역량향상 과정,엑셀 활용 팁,4.3958,4.4167,4.4167,4.3333,4.4167
1022위,4월2주차,중견리더 과정(8주차),영어,4.3929,4.4286,4.3571,4.3571,4.4286
1023위,5월3주차,재난관리 실무 과정,자연재난 사례 및 안전관리,4.3919,4.3514,4.3784,4.3784,4.4595
1024위,2월5주차,중견리더 과정(2주차),영어,4.3906,4.3125,4.375,4.4375,4.4375
1025위,3월5주차,재난관리 실무 과정,사회재난 사례 및 안전관리,4.3871,4.3871,4.3871,4.3548,4.4194
1026위,4월4주차,저수지·댐 안전관리,"비상대처계획(EAP), 주민대피계획의 수립",4.3865,4.3667,4.4,4.4,4.3793
1027위,4월3주차,중견리더 과정(9주차),영어,4.3864,4.4545,4.4545,4.4545,4.1818
1028위,5월5주차,강사 양성 과정,강사의 기본요건 2(명확한 의사전달),4.3864,4.3636,4.3636,4.3636,4.4545
1029위,3월2주차,보조금단체 회계실무 과정,보조금 단체 회계감사 사례,4.3854,4.2917,4.4583,4.3333,4.4583
1030위,7월1주차,중견리더 과정(20주차),외국어,4.3846,4.3846,4.3846,4.3846,4.3846
1031위,7월1주차,중견리더 과정(20주차),체력관리,4.3844,4.3478,4.3913,4.4348,4.3636
1032위,5월5주차,중견리더 과정(15주차),생활 속 응급처치,4.3831,4.371,4.4194,4.3387,4.4032
1033위,3월5주차,재난관리 실무 과정,자연재난 사례 및 안전관리,4.3817,4.3871,4.3333,4.3871,4.4194
1034위,7월1주차,중견리더 과정(20주차),"끝없는 도전, 도전은 계속된다",4.3802,4.3676,4.4118,4.3382,4.403
1035위,6월2주차,중견리더 과정(17주차),헌법,4.3801,4.3333,4.4211,4.3684,4.3974
1036위,6월2주차,재난관리 실무 과정,사회재난 사례 및 안전관리,4.3784,4.3784,4.4324,4.2973,4.4054
1037위,7월3주차,신규 임용(후보)자 과정(2주차),쉽게 활용하는 한글 팁,4.3768,4.3521,4.4366,4.3099,4.4085
1038위,5월4주차,중견리더 과정(14주차),실무를 위한 SNS 트렌드,4.376,4.3623,4.3913,4.3623,4.3881
1039위,2월3주차,교육 담당자 역량향상 과정,교육훈련 업무프로세스 공유 및 토론,4.375,4.375,4.375,4.375,4.375
1039위,3월2주차,보조금단체 회계실무 과정,지방보조금 관리시스템(보탬e) 활용,4.375,4.375,4.4583,4.25,4.4167
1039위,2월5주차,예산회계 실무 과정,보조금 실무,4.375,4.3929,4.3929,4.3214,4.3929
1039위,4월4주차,저수지·댐 안전관리,"저수지, 댐 안전관리법",4.375,4.3667,4.4,4.3667,4.3667
1039위,4월4주차,지역특화 관광콘텐츠 개발 과정,관광산업 트렌드의 이해,4.375,4.3,4.5,4.4,4.3
1044위,3월5주차,중견리더 과정(6주차),기후위기 이해와 미래전망,4.3734,4.3797,4.4051,4.3291,4.3797
1045위,4월2주차,신규 임용(후보)자 과정(2주차),경남의 비전과 주요정책,4.3734,4.4318,4.5116,4.2093,4.3409
1046위,7월3주차,신규 임용(후보)자 과정(2주차),핵심 엑셀 활용 팁,4.3732,4.3662,4.4366,4.2958,4.3944
1047위,7월2주차,6급 승진자 역량향상 과정,소통과 갈등관리,4.3684,4.3684,4.3158,4.4737,4.3158
1048위,5월1주차,중견리더 과정(11주차),아랍 이슬람 문화의 이해,4.3673,4.3671,4.3924,4.3544,4.3553
1049위,7월3주차,신규 임용(후보)자 과정(2주차),차세대 지방재정관리 시스템,4.364,4.3662,4.3803,4.3239,4.3857
1050위,3월3주차,신규공무원 역량향상 심화 과정,보고서 작성 실무,4.36,4.44,4.44,4.28,4.28
1051위,3월4주차,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,경남의 교통 현황 및 개선 방향,4.3594,4.375,4.375,4.5,4.1875
1052위,4월4주차,신규공무원 역량향상 심화 과정,홍보템플릿 실무,4.355,4.33,4.38,4.38,4.33
1053위,4월2주차,중견리더 과정(8주차),헌법,4.3549,4.3827,4.3902,4.3049,4.3418
1054위,7월4주차,신규 임용(후보)자 과정(3주차),"현장 적응 실습출장, 초과 등",4.3536,4.3571,4.3714,4.3429,4.3429
1055위,5월3주차,중견리더 과정(13주차),헌법,4.3496,4.3333,4.3939,4.2923,4.3788
1056위,3월5주차,중견리더 과정(6주차),2050 탄소중립 실현을 위한 우리의 역할,4.3492,4.3291,4.4051,4.3165,4.3462
1057위,3월3주차,신규공무원 역량향상 심화 과정,계약실무,4.3478,4.3478,4.3478,4.3043,4.3913
1058위,4월4주차,신규공무원 역량향상 심화 과정,보고서 작성 실무,4.3475,4.39,4.33,4.33,4.34
1059위,7월1주차,중견리더 과정(20주차),관광산업 국내외 우수사례,4.3468,4.3382,4.3676,4.3284,4.3529
1060위,5월3주차,재난관리 실무 과정,사회재난 사례 및 안전관리,4.3446,4.3243,4.2973,4.3514,4.4054
1061위,7월1주차,중견리더 과정(20주차),스마트시티의 이해,4.3433,4.3433,4.3433,4.3284,4.3582
1062위,7월1주차,중견리더 과정(20주차),이민정책 패러다임의 변화와 지방정부의 역할,4.3413,4.3077,4.375,4.3016,4.381
1063위,4월1주차,건축 실무 과정,"안전점검실무-품질, 안전",4.3333,4.2593,4.4074,4.2963,4.3704
1064위,7월2주차,6급 승진자 역량향상 과정,언론 대응 및 보고 능력 향상,4.3333,4.3158,4.3684,4.3158,4.3333
1064위,4월4주차,중견리더 과정(10주차),통기타,4.3333,4.4444,4.4444,4.1111,4.3333
1064위,7월2주차,투자유치 활성화 과정,경남의 투자유치 현황 및 활성화 방안,4.3333,4.3333,4.3333,4.3333,4.3333
1067위,7월2주차,신규 임용(후보)자 과정(1주차),Open mind / 팀빌딩,4.3301,4.3291,4.3165,4.325,4.35
1068위,7월4주차,신규 임용(후보)자 과정(3주차),슬기로운 방첩생활,4.3286,4.3286,4.3429,4.3,4.3429
1069위,7월2주차,신규 임용(후보)자 과정(1주차),경남의 도정과제공유 [시군정책 이해를 통한 공감경남 만들기],4.3281,4.3125,4.3375,4.3125,4.35
1070위,7월2주차,신규 임용(후보)자 과정(1주차),공직가치 액션러닝골든타임 119,4.327,4.3375,4.3375,4.3038,4.3291
1071위,3월4주차,중견리더 과정(5주차),이탈리아 기행,4.3252,4.321,4.3625,4.3086,4.3086
1072위,4월4주차,지역특화 관광콘텐츠 개발 과정,관광산업 국내외 우수사례,4.325,4.3,4.3,4.4,4.3
1072위,4월4주차,지역특화 관광콘텐츠 개발 과정,경남관광 방향성 모색,4.325,4.3,4.3,4.4,4.3
1074위,2월5주차,예산회계 실무 과정,차세대 지방재정관리 시스템 사용실무,4.3214,4.25,4.3571,4.2857,4.3929
1074위,6월4주차,중견리더 과정(19주차),통기타,4.3214,4.2857,4.2857,4.4286,4.2857
1076위,7월3주차,신규 임용(후보)자 과정(2주차),보고서 작성 및 기획역량 강화,4.3204,4.338,4.3521,4.2958,4.2958
1077위,4월1주차,건축 실무 과정,건축 관련 법령 및 인허가 절차의 이해,4.3184,4.2963,4.2963,4.2963,4.3846
1078위,6월2주차,재난관리 실무 과정,자연재난 사례 및 안전관리,4.3176,4.2703,4.3784,4.2432,4.3784
1079위,4월2주차,중견리더 과정(8주차),경남관광산업 활성화 방안,4.3175,4.3125,4.3625,4.2658,4.3291
1080위,4월4주차,중견리더 과정(10주차),농업의 지속가능한 발전방안,4.3163,4.3478,4.3188,4.2899,4.3088
1081위,6월4주차,중견리더 과정(19주차),"역량개발교육(구두발표, 역할수행)",4.3163,4.3061,4.3061,4.3265,4.3265
1082위,2월5주차,중견리더 과정(2주차),경남의 섬 발전방안,4.3133,4.3253,4.3855,4.241,4.3012
1083위,7월2주차,신규 임용(후보)자 과정(1주차),예산실무,4.3132,4.35,4.3625,4.2152,4.325
1084위,6월2주차,중견리더 과정(17주차),영어,4.3125,4.3125,4.3125,4.3125,4.3125
1085위,7월2주차,신규 임용(후보)자 과정(1주차),행정업무 운영실무,4.3094,4.325,4.3625,4.2125,4.3375
1086위,4월1주차,중견리더 과정(7주차),공무원 노조의 이해 및 역할,4.3086,4.3086,4.321,4.2963,4.3086
1087위,6월4주차,중견리더 과정(19주차),"역량개발교육(집단토론, 서류함기법)",4.3081,4.3061,4.3061,4.32,4.3
1088위,5월4주차,인구소멸 대응과 지역균형 발전 과정,저출생 대응 정책 및 사례,4.3056,4.2222,4.4444,4.3333,4.2222
1089위,6월2주차,신규공무원 역량향상 심화 과정,행사실무,4.3052,4.2857,4.3929,4.1852,4.3571
1090위,4월1주차,중견리더 과정(7주차),인문학으로 보는 와인,4.3052,4.3,4.3125,4.2625,4.3457
1091위,2월5주차,과장급 필수 역량향상 과정,모의과제 실습,4.3046,4.3,4.3,4.3684,4.25
1092위,7월2주차,신규 임용(후보)자 과정(1주차),성과중심 공직가치 함양,4.3041,4.3125,4.3125,4.3038,4.2875
1093위,6월1주차,"스마트 경남, 스마트 시티 과정",규제 샌드박스의 이해,4.3036,4.2857,4.3571,4.2857,4.2857
1094위,5월3주차,중견리더 과정(13주차),일본문화 및 사회의 이해,4.3033,4.3115,4.3115,4.2951,4.2951
1095위,2월5주차,중견리더 과정(2주차),중대재해처벌법의 이해,4.3012,4.3855,4.3735,4.1807,4.2651
1096위,3월2주차,중견리더 과정(3주차),공공언어의 개념 및 특성,4.3006,4.2785,4.3418,4.2658,4.3165
1097위,5월5주차,강사 양성 과정,강사의 기본 요건 1(태도 및 자세),4.3,4.3636,4.3636,4.2727,4.2
1098위,3월2주차,중견리더 과정(3주차),바른문장 쓰는 법,4.2962,4.2785,4.3333,4.2692,4.3038
1099위,4월1주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기,4.2889,4.2889,4.2667,4.2667,4.3333
1100위,7월3주차,신규 임용(후보)자 과정(2주차),현장학습도정과제 연계,4.2887,4.3239,4.2535,4.3239,4.2535
1101위,5월4주차,중견리더 과정(14주차),경남 도시정책 마스터플랜,4.2861,4.2917,4.274,4.25,4.3288
1102위,7월4주차,신규 임용(후보)자 과정(3주차),공무원 연금제도의 이해,4.2857,4.3143,4.2571,4.2714,4.3
1102위,2월5주차,예산회계 실무 과정,지방보조금 관리시스템 운영관리,4.2857,4.25,4.2857,4.25,4.3571
1104위,7월3주차,신규 임용(후보)자 과정(2주차),공무원 노사관계의 이해,4.2792,4.3099,4.3099,4.1972,4.3
1105위,7월4주차,신규 임용(후보)자 과정(3주차),직장 내 괴롭힘 예방,4.2786,4.2857,4.2857,4.2714,4.2714
1106위,7월3주차,중견리더 과정(22주차),통기타,4.2778,4.3333,4.3333,4.1111,4.3333
1107위,7월4주차,신규 임용(후보)자 과정(3주차),디지털‧미래대응 교육 이해 및 실습,4.2758,4.3,4.2714,4.2319,4.3
1108위,4월3주차,중견리더 과정(9주차),트라이포트 첨단 물류플랫폼 구축,4.2746,4.2817,4.338,4.1831,4.2958
1109위,3월5주차,중견리더 과정(6주차),투자유치 법령 및 제도 이해,4.2695,4.2597,4.3247,4.1818,4.3117
1110위,2월5주차,예산회계 실무 과정,지방지차단체 재정관리 및 예산의 이해,4.2679,4.25,4.3214,4.25,4.25
1111위,7월3주차,신규 임용(후보)자 과정(2주차),온나라 시스템,4.2651,4.2676,4.2958,4.1972,4.3
1112위,5월4주차,중견리더 과정(14주차),대한민국의 미래는 적극행정 실천으로,4.2649,4.2667,4.2833,4.2167,4.2931
1113위,5월3주차,신규공무원 역량향상 심화 과정,행사실무,4.2625,4.2,4.25,4.25,4.35
1114위,6월3주차,중견리더 과정(18주차),역량개발교육 이론,4.2593,4.2963,4.2778,4.2222,4.2407
1115위,7월3주차,경남의 미래산업과 일자리 과정,청년 일자리와 공공정책,4.25,4.2,4.2,4.3,4.3
1115위,2월3주차,교육 담당자 역량향상 과정,차세대 인사랑 교육훈련 기능안내,4.25,4.2222,4.2222,4.1111,4.4444
1115위,5월4주차,인구소멸 대응과 지역균형 발전 과정,지역균형 발전정책 사례,4.25,4.2222,4.3333,4.1111,4.3333
1118위,7월4주차,신규 임용(후보)자 과정(3주차),프레젠테이션과 발표,4.249,4.2319,4.2714,4.2464,4.2464
1119위,5월2주차,중견리더 과정(12주차),바람직한 공직관 실천,4.2472,4.2542,4.2203,4.1864,4.3276
1120위,7월2주차,신규 임용(후보)자 과정(1주차),경남의 비전과 주요정책,4.2344,4.225,4.325,4.0875,4.3
1121위,7월4주차,신규 임용(후보)자 과정(3주차),보고서 작성 실습,4.2321,4.2571,4.2571,4.1714,4.2429
1122위,5월5주차,강사 양성 과정,강의란 무엇인가?,4.2273,4.2727,4.0909,4.1818,4.3636
1122위,6월2주차,중견리더 과정(17주차),통기타,4.2273,4.3636,4.1818,4.1818,4.1818
1124위,7월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기,4.225,4.225,4.25,4.225,4.2
1125위,7월3주차,경남의 미래산업과 일자리 과정,경남의 미래 첨단산업 육성전략,4.2222,4.2222,4.2222,4.2222,4.2222
1125위,5월4주차,중견리더 과정(14주차),통기타,4.2222,4.2222,4.2222,4.2222,4.2222
1127위,3월4주차,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,미래항공모빌리티(AAM)의 이해,4.2188,4.125,4.1875,4.25,4.3125
1128위,3월3주차,중견리더 과정(4주차),국가재난 시스템과 선진재난 관리매뉴얼,4.2172,4.1875,4.2716,4.175,4.2346
1129위,7월4주차,신규 임용(후보)자 과정(3주차),글로벌 시민 역량,4.2153,4.2143,4.2286,4.1429,4.2754
1130위,7월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기 상황훈련 및 리허설,4.2069,4.2,4.2152,4.2125,4.2
1131위,7월2주차,신규 임용(후보)자 과정(1주차),세대공감 및 민원응대 역할연기 평가 및 공유,4.2038,4.2,4.2,4.2125,4.2025
1132위,4월2주차,중견리더 과정(8주차),다양한 원고 읽기,4.2033,4.2,4.2133,4.1867,4.2133
1133위,3월3주차,중견리더 과정(4주차),국가재난관리 정책방향과 위기관리,4.2031,4.2125,4.25,4.125,4.225
1134위,7월3주차,경남의 미래산업과 일자리 과정,산업발달과 일자리 변화,4.2,4.2,4.2,4.2,4.2
1134위,7월3주차,경남의 미래산업과 일자리 과정,경남의 일자리 발굴 방안,4.2,4.2,4.2,4.2,4.2
1136위,4월3주차,중견리더 과정(9주차),부동산PF사업의 이해,4.1966,4.1918,4.2838,4.0405,4.2703
1137위,2월4주차,보조금단체 회계실무 과정,보조금 단체 회계감사 사례,4.1932,4.2273,4.2273,4.1364,4.1818
1138위,4월4주차,저수지·댐 안전관리,계측관리 이론 및 현장적용 사례,4.1917,4.2,4.2667,4.1333,4.1667
1139위,2월5주차,과장급 필수 역량향상 과정,역량교육의 이해,4.1901,4.2,4.25,4.1,4.2105
1140위,3월2주차,중견리더 과정(3주차),정부예산의 이해 및 국비확보 대응방안,4.1856,4.137,4.2466,4.1644,4.1944
1141위,5월5주차,강사 양성 과정,강의 시연 및 피드백,4.1818,4.0909,4.1818,4.0909,4.3636
1142위,4월4주차,지역특화 관광콘텐츠 개발 과정,스트레스 완화 스트레칭,4.175,4.1,4.2,4.2,4.2
1143위,2월5주차,예산회계 실무 과정,회계 감사 지적사례,4.1696,4.1786,4.2143,4.1071,4.1786
1144위,6월2주차,중견리더 과정(17주차),다문화 사회의 이해,4.1678,4.1781,4.1644,4.1507,4.1781
1145위,4월1주차,신규 임용(후보)자 과정(1주차),행정업무 운영실무,4.1667,4.1778,4.2889,3.9556,4.2444
1146위,7월4주차,신규 임용(후보)자 과정(3주차),유형별 민원응대 기법,4.1665,4.1571,4.1571,4.1429,4.209
1147위,3월3주차,중견리더 과정(4주차),실무를 위한 SNS 트렌드,4.1642,4.1538,4.2208,4.1282,4.1538
1148위,4월2주차,중견리더 과정(8주차),실전 원고 스피치,4.1519,4.1646,4.1772,4.1266,4.1392
1149위,7월4주차,신규 임용(후보)자 과정(3주차),법령체계와 법령해석 방법론,4.1464,4.1571,4.1714,4.1143,4.1429
1150위,5월3주차,중견리더 과정(13주차),세상을 보는 눈,4.1451,4.1774,4.127,4.1148,4.1613
1151위,5월3주차,중견리더 과정(13주차),분임토의,4.1429,4.1429,4.1429,4.1429,4.1429
1152위,5월3주차,중견리더 과정(13주차),소통패턴별 스트레스 조절 및 회복탄련성 강화,4.1331,4.129,4.1613,4.0968,4.1452
1153위,5월4주차,홍보실무 과정,보조금 단체 회계감사 사례,4.1176,4.1765,4.1765,3.9412,4.1765
1154위,5월5주차,강사 양성 과정,강의계획서 및 제안서 만들기,4.1136,4.1818,4,4.0909,4.1818
1155위,3월2주차,보조금단체 회계실무 과정,보조금 실무,4.1042,4,4.2083,4.0833,4.125
1156위,5월4주차,홍보실무 과정,지방보조금 관리시스템(보탬e) 활용,4.0972,4.1111,4.1667,3.8889,4.2222
1157위,3월3주차,중견리더 과정(4주차),경남의 문화유산(통도사와 승려들),4.097,4.0506,4.175,4.025,4.1375
1158위,5월5주차,강사 양성 과정,콘텐츠 개발 및 수업설계,4.0909,4,4.0909,4,4.2727
1159위,5월3주차,중견리더 과정(13주차),민원유형별 성공적인 응대 전략,4.09,4.0893,4.1071,4.0727,4.0909
1160위,4월2주차,신규 임용(후보)자 과정(2주차),유형별 민원응대 기법,4.0739,4.1136,3.9091,4.0682,4.2045
1161위,2월5주차,예산회계 실무 과정,대한민국의 미래는 적극행정 실천으로,4.0536,4.0357,3.9643,4.0714,4.1429
1162위,4월1주차,중견리더 과정(7주차),경남의 레저스포츠 전망과 발전방안,4.0499,4.0263,4.0789,4.0132,4.0811
1163위,3월2주차,중견리더 과정(3주차),세계문화기행,4.0463,4.0247,4.0123,3.9875,4.1605
1164위,3월4주차,중견리더 과정(5주차),장애인 인식개선,4.0396,4.0366,4.0488,4,4.0732
1165위,5월1주차,중견리더 과정(11주차),통기타,4.0385,4.0769,4.0769,4,4
1166위,4월1주차,행사 실무 과정,인사말 쓰기,4.0344,4,4.2,3.9375,4
1167위,7월3주차,중견리더 과정(22주차),"지방자치의 과거와 현재, 그리고 미래",4.0315,4.0469,4.0635,3.9844,4.0313
1168위,6월1주차,중견리더 과정(16주차),통기타,4,4,4,4,4
1169위,5월4주차,홍보실무 과정,보조금 실무,3.9975,4,4.1667,3.8235,4
1170위,3월2주차,중견리더 과정(3주차),커피인문학(커피의 세계화),3.9753,3.9506,4.0125,3.9136,4.0247
1171위,5월1주차,명품 스피치 과정,PPT 발표 자료 작성 방법,3.9722,4,4,3.8889,4
1172위,4월1주차,중견리더 과정(7주차),이순신 리더십,3.9615,3.9615,4.0128,3.9231,3.9487
1173위,4월1주차,중견리더 과정(7주차),난중일기를 통해 본 이순신,3.958,3.9872,3.9615,3.9221,3.961
1174위,5월5주차,강사 양성 과정,성격유형별 효율적 의사소통,3.9545,4,4,3.9091,3.9091
1175위,4월1주차,중견리더 과정(7주차),사진,3.9523,3.9444,4.027,3.9189,3.9189
1176위,2월5주차,중견리더 과정(2주차),경남의 비전과 주요정책,3.9501,3.9882,4,3.8,4.012
1177위,5월3주차,중견리더 과정(13주차),통기타,3.9464,3.9286,3.9286,3.9286,4
1178위,5월1주차,명품 스피치 과정,PPT 발표 실습 및 피드백,3.9444,3.9444,3.9444,3.8889,4
1179위,3월2주차,중견리더 과정(3주차),커피인문학(커피의 역사),3.9413,3.9259,4,3.8519,3.9875
1180위,7월1주차,중견리더 과정(20주차),동아리 활동,3.9286,4,4,3.8571,3.8571
1181위,5월5주차,강사 양성 과정,강의안 작성 기법,3.9091,3.9091,3.8182,3.8182,4.0909
1182위,2월5주차,중견리더 과정(2주차),청렴도 종합대책 및 공무원 행동강령,3.88,3.9733,4,3.7333,3.8133
1183위,6월3주차,중견리더 과정(18주차),통기타,3.8571,3.8571,3.8571,3.8571,3.8571
1184위,4월2주차,신규 임용(후보)자 과정(2주차),인문학 특강,3.8401,3.8409,3.8605,3.75,3.9091
1185위,3월4주차,중견리더 과정(5주차),팬데믹과 국가의 역할,3.8387,3.8519,3.9012,3.7375,3.8642
1186위,5월2주차,중견리더 과정(12주차),경남의 역사적 이해(남명 조식과의 대화),3.8152,3.8108,3.8667,3.7067,3.8767
1187위,4월4주차,미래설계 과정(1주차),행정사 바로알기,3.8114,3.9048,3.8182,3.7273,3.7955
1188위,3월4주차,중견리더 과정(5주차),국토의 미래전망과 대응과제,3.7959,3.8625,3.8765,3.6667,3.7778
1189위,3월4주차,중견리더 과정(5주차),국토종합계획의 변천과 주요내용,3.7623,3.8272,3.8519,3.642,3.7284
1190위,6월2주차,중견리더 과정(17주차),중국의 기업문화(중국진출 한국 기업에 대해),3.7525,3.7778,3.7778,3.7361,3.7183
1191위,5월2주차,중견리더 과정(12주차),통기타,3.75,3.75,3.75,3.75,3.75
1192위,3월4주차,중견리더 과정(5주차),지방자치의 현재와 미래(지방자치법을 중심으로),3.7463,3.7439,3.8293,3.6341,3.7778
1193위,2월5주차,중견리더 과정(2주차),성인지와 양성평등,3.7431,3.7529,3.7412,3.6548,3.8235
1194위,4월1주차,중견리더 과정(7주차),세계문화기행Ⅱ,3.7338,3.7848,3.6923,3.7403,3.7179
1195위,6월2주차,중견리더 과정(17주차),국회입법과정의 이해,3.66,3.6667,3.6667,3.64,3.6667
1196위,3월4주차,중견리더 과정(5주차),질병이 바꾼 인류역사,3.6564,3.6667,3.7037,3.5926,3.6625
1197위,3월3주차,중견리더 과정(4주차),언론과의 효과적 소통 및 대응,3.508,3.5,3.5128,3.5128,3.5065
1198위,3월3주차,중견리더 과정(4주차),미국현대 사회와 문화의 이해,3.4146,3.3797,3.5063,3.3671,3.4051
1199위,4월2주차,중견리더 과정(8주차),인문학 특강,3.2477,3.2388,3.3939,3.1045,3.2537
