교육과정,기수,교육주차,교육일자,과정유형,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편성,강사강의 만족도,종합만족도,순위
시·군 팀장 리더십 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,기본(리더십),현장캠퍼스,15,4.67,4.53,4.53,4.6,4.56,4.513,89
[교류] 동서화합 문화관광 탐방 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,직무(인문·소양),현장캠퍼스,33,4.52,4.44,4.37,4.513,4.513,4.513,90
경남의 섬 과정,2,2024년 5월 5주차,2024.5.28.~5.31.,직무(인문·소양),인재개발원,37,4.64,4.61,4.47,4.44,4.57,4.51,91
신규공무원 역량향상 심화 과정,7,2024년 10월 3주차,2024.10.16.~10.18.,기본(기본),인재개발원,33,4.59,4.53,4.53,4.5,4.58,4.508,92
재난관리 실무 과정,3,2024년 7월 1주차,2024.7.3.~7.5.,직무(전문),인재개발원,12,4.5,4.5,4.25,4.5,4.7,4.503,93
신규공무원 역량향상 심화 과정,8,2024년 11월 2주차,2024.11.6.~11.8.,기본(기본),인재개발원,36,4.47,4.5,4.5,4.44,4.5,4.5,94
신규공무원 역량향상 심화 과정,6,2024년 9월 4주차,2024.9.25.~9.27.,기본(기본),인재개발원,34,4.48,4.52,4.45,4.55,4.56,4.495,95
미래설계 과정,3,2024년 9월 2주차,2024.9.2.~9.13.,직무(인문·소양),인재개발원,67,4.56,4.57,4.33,4.46,4.52,4.493,96
공직자 이해충돌 방지 과정,1,2024년 5월 3주차,2024.5.17.,기본(기본),온라인,34,4.48,4.48,4.58,4.52,4.51,4.492,97
지방의회 공무원 실무역량 향상 과정,2,2024년 8월 5주차,2024.8.26.~8.28.,직무(전문),인재개발원,14,4.71,4.57,4.57,4.5,4.59,4.488,98
시·군 팀장 역량향상 과정,3,2024년 11월 2주차,2024.11.6.~11.8.,기본(리더십),현장캠퍼스,18,4.44,4.44,4.56,4.56,4.77,4.482,99
시·군 팀장 리더십 과정,4,2024년 5월 4주차,2024.5.22.~5.24.,기본(리더십),현장캠퍼스,25,4.56,4.52,4.52,4.4,4.48,4.474,100
기간제 근로자 관리자 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,직무(전문),인재개발원,16,4.47,4.47,4.6,4.13,4.56,4.468,101
기획능력 향상 과정,3,2024년 12월 2주차,2024.12.11.~12.13.,직무(공통),인재개발원,25,4.48,4.48,4.56,4.48,4.49,4.468,102
시·군 팀장 리더십 과정,3,2024년 4월 4주차,2024.4.24.~4.26.,기본(리더십),현장캠퍼스,16,4.69,4.38,4.38,4.38,4.74,4.468,103
시·군 팀장 역량향상 과정,4,2024년 10월 5주차,2024.10.28.~10.30.,기본(리더십),현장캠퍼스,18,4.5,4.6,4.6,4.5,4.6,4.467,104
5급 관리자 리더십 과정,2,2024년 8월 5주차,2024.8.28.~8.30.,기본(리더십),인재개발원,19,4.58,4.47,4.37,4.53,4.71,4.464,105
신규 임용(후보)자 과정,3,2024년 5월 1주차,2024.4.15.~5.3.,기본(기본),인재개발원,88,4.49,4.38,4.38,4.43,4.53,4.461,106
신규 임용(후보)자 과정,4,2024년 5월 5주차,2024.5.13.~5.31.,기본(기본),인재개발원,87,4.53,4.46,4.34,4.41,4.55,4.461,107
엑셀활용(중급) 과정,2,2024년 7월 3주차,2024.7.19.,핵심(디지털),인재개발원,27,4.46,4.58,4.58,4.58,4.57,4.46,108
투자유치 활성화 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,핵심(핵심과제),인재개발원,18,4.5,4.38,4.31,4.5,4.58,4.459,109
스마트기기 활용 과정,4,2024년 12월 2주차,2024.12.11.~12.13.,핵심(디지털),인재개발원,26,4.42,4.27,4.23,4.54,4.53,4.457,110
5급 관리자 리더십 과정,1,2024년 5월 1주차,2024.5.1.~5.3.,기본(리더십),인재개발원,15,4.27,4.47,4.4,4.47,4.55,4.454,111
문화유산 이해 과정,2,2024년 4월 4주차,2024.4.24.~4.26.,직무(인문·소양),현장캠퍼스,31,4.48,4.42,4.29,4.45,4.19,4.453,112
지방세 실무 과정,1,2024년 2월 5주차,2024.2.27.~2.29.,직무(전문),인재개발원,20,4.68,4.37,4.47,4.42,4.48,4.453,113
예산회계 실무 과정,1,2024년 3월 3주차,2024.3.20.~3.22.,직무(공통),인재개발원,24,4.46,4.5,4.58,4.46,4.48,4.45,114
공공언어 바르게 쓰기 과정,1,2024년 7월 2주차,2024.7.10.~7.12.,직무(공통),인재개발원,18,4.35,4.41,4.59,4.24,4.52,4.448,115
신규공무원 역량향상 심화 과정,4,2024년 6월 4주차,2024.6.26.~6.28.,기본(기본),인재개발원,29,4.41,4.37,4.41,4.44,4.53,4.447,116
토목실무 과정,1,2024년 5월 2주차,2024.5.8.~5.10.,직무(전문),인재개발원,25,4.54,4.42,4.38,4.5,4.47,4.443,117
6급 승진자 역량향상 과정,3,2024년 9월 1주차,2024.9.3.~9.6.,기본(기본),인재개발원,17,4.41,4.24,4.41,4.47,4.42,4.43,118
신규공무원 역량향상 심화 과정,2,2024년 4월 3주차,2024.4.17.~4.19.,기본(기본),인재개발원,33,4.45,4.39,4.45,4.42,4.49,4.423,119
6급 승진자 역량향상 과정,1,2024년 3월 4주차,2024.3.26.~3.29.,기본(기본),인재개발원,19,4.56,4.39,4.39,4.33,4.31,4.422,120
신규 임용(후보)자 과정,9,2024년 10월 5주차,2024.10.14.~11.1.,기본(기본),인재개발원,259,4.46,4.44,4.37,4.44,4.54,4.422,121
신규 임용(후보)자 과정,8,2024년 10월 2주차,2024.9.23.~10.11.,기본(기본),인재개발원,66,4.42,4.4,4.37,4.42,4.46,4.418,122
공직자 이해충돌 방지 과정,2,2024년 10월 2주차,2024.10.8.,기본(기본),온라인,16,4.33,4.33,4.33,4.47,4.66,4.418,123
홍보실무 과정,1,2024년 5월 4주차,2024.5.23.~5.24.,직무(공통),인재개발원,24,4.22,4.35,4.35,4.35,4.54,4.416,124
우주항공산업과 UAM 과정,1,2024년 9월 1주차,2024.9.4.~9.6.,핵심(핵심과제),인재개발원,21,4.33,4.43,4.24,4.43,4.39,4.411,125
MICE사업 유치 역량강화 과정,1,2024년 6월 3주차,2024.6.19.~6.21.,핵심(핵심과제),인재개발원,20,4.47,4.41,4.35,4.29,4.49,4.411,126
6급 승진자 역량향상 과정,2,2024년 5월 4주차,2024.5.21.~5.24.,기본(기본),인재개발원,14,4.55,4.36,4.36,4.36,4.23,4.401,127
계약실무 과정,1,2024년 3월 2주차,2024.3.12.~3.14.,직무(공통),인재개발원,19,4.39,4.56,4.5,4.5,4.76,4.401,128
지속가능발전목표 이행 과정,1,2024년 5월 5주차,2024.5.29.~5.31.,직무(전문),인재개발원,16,4.56,4.38,4.44,4.31,4.52,4.397,129
신규 임용(후보)자 과정,11,2024년 12월 2주차,2024.11.25.~12.13.,기본(기본),인재개발원,234,4.45,4.35,4.33,4.38,4.56,4.396,130
행사실무 과정,1,2024년 4월 1주차,2024.4.4.~4.5.,직무(공통),인재개발원,21,4.43,4.48,4.48,4.57,4.44,4.389,131
지역특화 관광 콘텐츠 개발 과정,1,2024년 4월 4주차,2024.4.24.~4.26.,핵심(핵심과제),인재개발원,16,4.4,4.53,4.4,4.2,4.42,4.381,132
신규 임용(후보)자 과정,2,2024년 4월 1주차,2024.3.18.~4.5.,기본(기본),인재개발원,89,4.39,4.36,4.37,4.3,4.43,4.379,133
보조금 단체 회계실무 과정,2,2024년 4월 1주차,2024.4.2.,핵심(도민역량),현장캠퍼스,36,4.3,4.37,4.37,4.41,4.58,4.37,134
재난안전 관리자 과정,2,2024년 10월 1주차,2024.10.4.,직무(전문),온라인,20,4.44,4.44,4.31,4.25,4.42,4.364,135
재난관리 실무 과정,5,2024년 11월 2주차,2024.11.6.~11.8.,직무(전문),인재개발원,38,4.35,4.41,4.35,4.3,4.38,4.362,136
신규공무원 역량향상 심화 과정,5,2024년 7월 3주차,2024.7.17.~7.19.,기본(기본),인재개발원,33,4.42,4.39,4.42,4.35,4.38,4.362,137
신규 임용(후보)자 과정,6,2024년 7월 2주차,2024.6.24.~7.12.,기본(기본),인재개발원,89,4.31,4.31,4.26,4.24,4.56,4.353,138
신규 임용(후보)자 과정,7,2024년 8월 1주차,2024.7.15.~8.2.,기본(기본),인재개발원,88,4.37,4.34,4.29,4.3,4.47,4.35,139
7·8급 승진자 역량향상 과정,4,2024년 9월 4주차,2024.9.24.~9.27.,기본(기본),인재개발원,25,4.55,4.3,4.3,4.1,4.46,4.347,140
신규 임용(후보)자 과정,10,2024년 11월 4주차,2024.11.4.~11.22.,기본(기본),인재개발원,253,4.46,4.36,4.34,4.34,4.47,4.347,141
가야사 바로알기 과정,2,2024년 6월 4주차,2024.6.26.~6.28.,직무(인문·소양),인재개발원,26,4.13,4.43,4.17,4.35,4.46,4.346,142
저수지·댐 안전관리 과정,1,2024년 4월 4주차,2024.4.24.~4.26.,직무(전문),인재개발원,27,4.27,4.35,4.35,4.31,4.37,4.341,143
인구소멸 대응과 지역균형 발전 과정,1,2024년 10월 2주차,2024.10.11.,핵심(핵심과제),인재개발원,14,4.45,4.36,4.18,4.27,4.42,4.33,144
재난관리 실무 과정,6,2024년 12월 1주차,2024.12.4.~12.6.,직무(전문),인재개발원,38,4.33,4.36,4.36,4.33,4.33,4.328,145
4차 산업혁명과 AI 활용 과정,1,2024년 3월 1주차,2024.3.6.~3.8.,핵심(디지털),인재개발원,24,4.25,4.33,4.08,4.25,4.53,4.32,146
식품위생감시원 직무교육 과정,1,2024년 2월 5주차,2024.2.26.,직무(전문),인재개발원,49,4.36,4.39,4.39,4.36,4.46,4.316,147
공공언어 바르게 쓰기 과정,2,2024년 11월 2주차,2024.11.6.~11.8.,직무(공통),인재개발원,32,4.37,4.3,4.43,4.4,4.39,4.314,148
기후위기 적응 대응 과정,1,2024년 6월 3주차,2024.6.20.~6.21.,핵심(핵심과제),인재개발원,25,4.19,4.33,4.33,4.29,4.35,4.314,149
재난안전 관리자 과정,1,2024년 6월 4주차,2024.6.28.,직무(전문),온라인,21,4.24,4.47,4.18,4.24,4.33,4.313,150
신규 임용(후보)자 과정,1,2024년 3월 1주차,2024.2.19.~3.8.,기본(기본),인재개발원,90,4.33,4.12,4.16,4.25,4.43,4.291,151
중대재해 예방 실무 과정,2,2024년 11월 5주차,2024.11.29.,직무(전문),온라인,182,4.34,4.31,4.28,4.32,4.38,4.291,152
7·8급 승진자 역량향상 과정,1,2024년 3월 2주차,2024.3.12.~3.15.,기본(기본),인재개발원,28,4.33,4.3,4.3,4.22,4.27,4.274,153
지방의회 공무원 실무역량 개발 과정,1,2024년 2월 4주차,2024.2.21.~2.23.,직무(전문),인재개발원,17,4.35,4.29,4.24,4.47,4.45,4.269,154
신규 임용(후보)자 과정,5,2024년 6월 3주차,2024.6.3.~6.21.,기본(기본),인재개발원,90,4.31,4.14,4.08,4.14,4.42,4.25,155
