교과목,교육과정,교육주차,강사강의 만족도,순위
연금제도의 이해,제2기 미래설계 과정,2024년 6월 2주차,4.79,253위
민원응대요령,제4기 재난관리 실무 과정,2024년 9월 4주차,4.79,258위
PPT 발표 능력 점검,제1기 명품 스피치 과정,2024년 5월 1주차,4.79,258위
소통을 위한 대화의 기술과 공감기법,제1기 계약실무 과정,2024년 3월 2주차,4.79,258위
파워포인트 실습2,제2기 파워포인트 활용 과정,2024년 10월 4주차,4.7875,261위
디자인 플랫폼의 이해,제2기 디자인 플랫폼 활용 과정,2024년 11월 3주차,4.7875,261위
역량에 대한 이해,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.7875,261위
연금제도 이해 및 퇴직 후 자산 관리,제2기 인생 2모작 준비 과정,2024년 12월 1주차,4.786827957,264위
라탄공예,제21기 중견리더 과정,2024년 10월 5주차,4.785,265위
행정학,제21기 중견리더 과정,2024년 5월 3주차,4.785,265위
경남에 대한 생각 나누기,제1기 경남 바로알기 과정,2024년 3월 1주차,4.785,265위
계약실무,제2기 7·8급 승진자 역량향상  과정,2024년 4월 3주차,4.785,265위
동의보감에 나타난 성인병예방,제1기 미래설계 과정,2024년 3월 3주차,4.785,265위
인플레이션시대의 자산관리,제1기 경남 일자리 과정,2024년 7월 2주차,4.785,265위
저작권 문제 없는 콘텐츠 활용,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.785,271위
라탄공예,제21기 중견리더 과정,2024년 7월 3주차,4.7825,272위
라탄공예,제21기 중견리더 과정,2024년 10월 3주차,4.7825,272위
라탄공예,제21기 중견리더 과정,2024년 8월 5주차,4.7825,274위
팀장의 역할 공감,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.7825,274위
역량교육의 이해,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.78,276위
애자일 조직에서 부서장의 역할,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.78,276위
"사회, 의전행사진행 실습 및 피드백",제1기 명품 스피치 과정,2024년 5월 1주차,4.78,276위
신임팀장 비전 만들기,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.78,279위
자료 찾기 및 공유 앱 활용,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.78,279위
한글 실무,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.78,279위
갈등 해결 및 성과 창출 리더십,제2기 시·군 팀장 리더십 과정,2024년 4월 1주차,4.78,279위
팀장의 역할 공감,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.78,279위
수사의 의미와 피의자 신문방법,제1기 특별사법경찰 실무 과정,2024년 2월 4주차,4.7775,284위
경남 미래항공모빌리티(AAM) 육성 등,제2기 드론 이해 및 행정 활용 과정,2024년 5월 5주차,4.7775,284위
스토리텔링 활용 홍보전략,제2기 홍보실무 과정,2024년 10월 3주차,4.7775,284위
신뢰감을 주는 스피치 기법,제3기 명품 스피치 과정,2024년 12월 3주차,4.776315789,287위
중국어,제21기 중견리더 과정,2024년 10월 2주차,4.775,288위
리더들의 공감대 형성,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.775,288위
비전 만들기,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.775,288위
의사소통 및 조직관리 코칭,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.775,288위
계약관련 감사지적 사례,제1기 계약실무 과정,2024년 3월 2주차,4.775,292위
행정학,제21기 중견리더 과정,2024년 6월 4주차,4.7725,293위
라탄공예,제21기 중견리더 과정,2024년 5월 2주차,4.7725,294위
행사 목적 선정 및 기획,제2기 행사실무 과정,2024년 8월 5주차,4.7725,294위
영어B,제21기 중견리더 과정,2024년 8월 5주차,4.7725,294위
행정학,제21기 중견리더 과정,2024년 4월 4주차,4.77,297위
중국어,제21기 중견리더 과정,2024년 6월 3주차,4.77,298위
승강기 검사지적 사례를 통한 자체점검의 이해,제4기 재난관리 실무 과정,2024년 9월 4주차,4.77,298위
일본어B,제21기 중견리더 과정,2024년 7월 1주차,4.77,298위
스마트폰 업무환경 최적화하기,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.77,298위
업무 속도를 빠르게 도와주는 유틸리티 활용,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.77,298위
ChatGPT 업무 활용,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.77,298위
크롬을 이용한 인터넷 정보 수집,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.7675,304위
소통을 위한 대화기술 및 공감기법,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.7675,304위
라탄공예,제21기 중견리더 과정,2024년 5월 4주차,4.765,306위
건강한 삶을 위한 기 에너지 충전,제2기 미래설계 과정,2024년 6월 2주차,4.765,306위
행정학,제21기 중견리더 과정,2024년 5월 1주차,4.765,306위
소통을 위한 대화의 기술과 공감 기법,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.765,306위
조직성과 창출을 위한 리더십,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.765,310위
[모의과제 실습] 구두발표,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.7625,311위
라탄공예,제21기 중견리더 과정,2024년 5월 5주차,4.76,312위
라탄공예,제21기 중견리더 과정,2024년 6월 2주차,4.76,312위
행정학,제21기 중견리더 과정,2024년 6월 3주차,4.76,312위
[모의과제 실습] 집단토론,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.76,312위
승강기 안전사고유형 및 사고원인,제4기 재난관리 실무 과정,2024년 9월 4주차,4.76,312위
