교과목,교육과정,교육주차,강사강의 만족도,순위
트라이포트 연계 물류지역 조성을 위한 방안,제1기 트라이포트와 물류산업 과정,2024년 7월 2주차,4.5975,814위
기획의 이론과실제(창의적 사고),제3기 기획능력 향상 과정,2024년 12월 2주차,4.595833333,815위
통기타,제21기 중견리더 과정,2024년 9월 2주차,4.595,816위
생성형 AI의 직무적용,제2기 7·8급 승진자 역량향상  과정,2024년 4월 3주차,4.595,817위
일본어A,제21기 중견리더 과정,2024년 11월 5주차,4.595,817위
공무원 연금제도의 이해,제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.595,817위
생성형 AI의 직무적용,제4기 7·8급 승진자 역량향상 과정,2024년 9월 4주차,4.5925,820위
신뢰감을 주는 스피치 기법,제1기 명품 스피치 과정,2024년 5월 1주차,4.5925,820위
최신 IT 트렌드와 AI 미래사회 변화와 활동,제1기 4차 산업혁명과 AI 활용 과정,2024년 3월 1주차,4.5925,822위
정리수납,제21기 중견리더 과정,2024년 8월 4주차,4.5925,822위
영어C,제21기 중견리더 과정,2024년 7월 3주차,4.5925,822위
현장학습(도정과제 연계),제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.591435185,825위
e-호조 지출·회계실무,제7기 신규공무원 역량향상 심화 과정,2024년 10월 3주차,4.59,826위
공문서 쓰기 이해,제1기 공공언어 바르게 쓰기 과정,2024년 7월 2주차,4.59,827위
토목의 이해,제1기 토목실무 과정,2024년 5월 2주차,4.59,827위
발표능력 기법 향상,제4기 신규 임용(후보)자 과정,2024년 5월 4주차,4.59,827위
한자,제21기 중견리더 과정,2024년 3월 2주차,4.59,827위
경남 미래항공모빌리티(AAM)육성 등,제1기 드론 이해 및 행정활용 과정,2024년 3월 4주차,4.59,827위
일본어B,제21기 중견리더 과정,2024년 6월 2주차,4.59,827위
지속가능발전의 역사와 전개,제1기 지속가능발전 목표 이행 과정,2024년 5월 5주차,4.59,827위
역량교육의 이해,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.59,827위
영어B,제21기 중견리더 과정,2024년 7월 1주차,4.59,827위
open mind / 팀빌딩,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.59,827위
부동산과 양도 소득세,제21기 중견리더 과정,2024년 5월 3주차,4.59,827위
영어C,제21기 중견리더 과정,2024년 10월 4주차,4.59,827위
사진-발표회 및 수료 준비(동아리반),제21기 중견리더 과정,2024년 12월 2주차,4.588709677,839위
보도자료 작성실무,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.5875,840위
디지털·미래대응 교육 이해 및 실습,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.5875,840위
세대공감 및 민원응대에 대한 이해,제9기 신규임용(후보)자 과정,2024년 10월 4주차,4.5875,840위
한자,제21기 중견리더 과정,2024년 5월 2주차,4.5875,843위
보고서 작성 실무,제4기 신규공무원 역량향상 심화 과정,2024년 6월 4주차,4.5875,843위
통기타,제21기 중견리더 과정,2024년 10월 5주차,4.585,845위
엑셀실무,제4기 신규공무원 역량향상 심화 과정,2024년 6월 4주차,4.585,845위
역량교육을 위한 마음열기,제2기 시·군 팀장 역량향상 과정,2024년 6월 2주차,4.585,845위
바람직한 공직관 실천,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.585,845위
생명을 지키는 교통안전,제21기 중견리더 과정,2024년 9월 1주차,4.585,849위
지역혁신과 지방지속가능한 발전목표 이행,제1기 지속가능발전 목표 이행 과정,2024년 5월 5주차,4.5825,850위
보고서 작성 및 기획역량 강화,제5기 신규 임용(후보)자 과정,2024년 6월 1주차,4.5825,851위
일본어B,제21기 중견리더 과정,2024년 5월 5주차,4.5825,851위
일본어B,제21기 중견리더 과정,2024년 6월 1주차,4.5825,851위
[모의과제 실습] 구두발표,제2기 시·군 팀장 역량향상 과정,2024년 6월 2주차,4.5825,851위
영어B,제21기 중견리더 과정,2024년 4월 4주차,4.5825,851위
영어B,제21기 중견리더 과정,2024년 8월 4주차,4.5825,851위
DVDM활동,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.5825,851위
성과중심 공직가치 함양,제5기 신규 임용(후보)자 과정,2024년 6월 1주차,4.5825,851위
가죽공예,제21기 중견리더 과정,2024년 7월 2주차,4.5825,851위
"현장 적응 실습(출장, 초과 등)",제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.582305647,860위
직장 내 괴롭힘 예방,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.58,861위
보도자료 작성,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.58,861위
후생복지 제도,제1기 전입공무원 역량향상 과정,2024년 9월 3주차,4.58,861위
정리수납,제21기 중견리더 과정,2024년 8월 3주차,4.58,861위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.58,861위
실천의 장(세대공감 및 실천방안 만들기),제3기 소통과 공감 과정,2024년 7월 1주차,4.58,861위
헌법,제21기 중견리더 과정,2024년 7월 1주차,4.58,861위
"기획의 이론과실제(논리적, 분석적 사고)",제3기 기획능력 향상 과정,2024년 12월 2주차,4.58,861위
오픈마인드,제4기 신규 임용(후보)자 과정,2024년 5월 3주차,4.5775,869위
회계실무,제1기 예산회계실무 과정,2024년 3월 3주차,4.5775,869위
일본어A,제21기 중견리더 과정,2024년 7월 1주차,4.5775,871위
공무원 연금제도의 이해,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.5775,871위
언론과의 효과적 소통 및 대응,제21기 중견리더 과정,2024년 8월 3주차,4.5775,871위
정리수납,제21기 중견리더 과정,2024년 6월 1주차,4.5775,871위
세계문화기행,제21기 중견리더 과정,2024년 8월 5주차,4.5775,871위
가야의 미,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.575,876위
우주먼지이야기,제21기 중견리더 과정,2024년 6월 2주차,4.575,877위
뉴미디어시대 정책 홍보전략,제21기 중견리더 과정,2024년 7월 2주차,4.575,877위
경남도 투자유치 현안 이슈 탐색,제1기 투자유치 활성화 과정,2024년 5월 1주차,4.575,877위
발표능력 기법 향상,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.575,877위
우주항공산업과 경남의 미래,제1기 지방의회 공무원 실무역량 개발 과정,2024년 2월 4주차,4.575,877위
"사회, 의전행사진행 실습 및 피드백",제2기 명품 스피치 과정,2024년 11월 5주차,4.575,877위
[모의과제 실습] 집단토론,제2기 시·군 팀장 역량향상 과정,2024년 6월 2주차,4.575,877위
보고서 작성 실습,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.575,884위
명품바디만들기,제21기 중견리더 과정,2024년 6월 4주차,4.575,884위
직장 내 괴롭힘 예방,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.575,884위
청탁금지법의 이해,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.573596245,887위
홍보 업무 능력 2배 향상시키기,제3기 업무용 오피스 활용 과정,2024년 9월 2주차,4.5725,888위
일본어B,제21기 중견리더 과정,2024년 4월 2주차,4.5725,889위
명품바디만들기,제21기 중견리더 과정,2024년 5월 5주차,4.5725,889위
재난사례 및 교훈,제2기 재난관리 실무 과정,2024년 5월 4주차,4.5725,889위
세대공감 및 민원응대 역할연기,제9기 신규임용(후보)자 과정,2024년 10월 4주차,4.5725,889위
가죽공예,제21기 중견리더 과정,2024년 6월 4주차,4.5725,889위
일반서무 업무 알아보기,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.571275314,894위
중국어,제21기 중견리더 과정,2024년 4월 1주차,4.57,895위
지방의회 운영 실무 및 사례연구,제1기 지방의회 공무원 실무역량 개발 과정,2024년 2월 4주차,4.57,895위
공무원 연금제도의 이해,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.57,895위
예산실무,제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.57,895위
쉽게 활용하는 한글 팁,제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.57,895위
PPT 활용능력 향상,제3기 업무용 오피스 활용 과정,2024년 9월 2주차,4.57,895위
생동감up 현장이야기(민원응대),제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.57,895위
영어C,제21기 중견리더 과정,2024년 8월 4주차,4.57,895위
행사실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.57,903위
경남의 관광산업 현황 및 발전방안,제2기 경남 바로 알기 과정,2024년 12월 2주차,4.57,903위
보이스트레이닝,제21기 중견리더 과정,2024년 3월 1주차,4.5675,905위
공직자의 이해충돌방지법 이해,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.5675,906위
독도를 통한 올바른 역사인식,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.5675,906위
차세대 지방재정관리 시스템,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.5675,906위
역할수행 및 토론,제2기 시·군 팀장 역량향상 과정,2024년 6월 2주차,4.5675,906위
리더십유형 진단 및 유형별 특징파악,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.5675,906위
경남의 도정과제 공유,제5기 신규 임용(후보)자 과정,2024년 6월 1주차,4.5675,906위
청탁금지법의 이해,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5675,906위
직장 내 괴롭힘 예방,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.5675,906위
경남 섬 가치와 미래,제2기 경남의 섬 과정,2024년 5월 5주차,4.5675,914위
발표능력 기법 향상,제5기 신규 임용(후보)자 과정,2024년 6월 2주차,4.565,915위
팀장역할에 대한 기대/바람 vs 걱정/염려나누기,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.565,915위
공직가치 액션러닝(골든타임 119),제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.565,915위
성찰 및 비전 수립,제2기 신규 임용(후보)자 과정,2024년 4월 1주차,4.565,915위
공직자의 이해충돌방지법 이해,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.565,919위
발표능력 기법 향상,제3기 신규 임용(후보)자 과정,2024년 4월 4주차,4.565,919위
명품바디만들기,제21기 중견리더 과정,2024년 8월 4주차,4.565,919위
명품바디만들기,제21기 중견리더 과정,2024년 9월 2주차,4.565,919위
경남의 비전과 주요정책,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.564405149,923위
독도를 통한 올바른 역사인식,제5기 신규 임용(후보)자 과정,2024년 6월 3주차,4.5625,924위
정리수납,제21기 중견리더 과정,2024년 5월 4주차,4.5625,924위
정리수납,제21기 중견리더 과정,2024년 5월 5주차,4.5625,924위
투자유치 법령 및 제도 이해,제1기 투자유치 활성화 과정,2024년 5월 1주차,4.5625,924위
일본어B,제21기 중견리더 과정,2024년 8월 4주차,4.5625,924위
오피스 스트레칭,제1기 전입공무원 역량향상 과정,2024년 9월 3주차,4.5625,924위
명품바디만들기,제21기 중견리더 과정,2024년 5월 3주차,4.5625,924위
주식투자의 이해,제3기 미래설계 과정,2024년 9월 1주차,4.5625,924위
생각의 정리기술,제21기 중견리더 과정,2024년 7월 1주차,4.5625,932위
라탄공예,제21기 중견리더 과정,2024년 4월 3주차,4.56,933위
블록체인 및 NFT의 이해1,제1기 4차 산업혁명과 AI 활용 과정,2024년 3월 1주차,4.56,933위
댄스스포츠,제21기 중견리더 과정,2024년 11월 5주차,4.56,933위
경남 도시 블렌딩,제21기 중견리더 과정,2024년 5월 2주차,4.56,933위
공무원 노사관계의 이해,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.56,933위
엑셀실무,제2기 신규공무원 역량향상 심화 과정,2024년 4월 3주차,4.56,933위
중복 데이터 처리 및 텍스트 마스킹,제2기 엑셀활용(중급) 과정,2024년 7월 3주차,4.56,933위
퇴직전후 맞춤 재테크,제3기 미래설계 과정,2024년 9월 2주차,4.56,933위
협업의 장(조직 내 공동목표 선정),제3기 소통과 공감 과정,2024년 7월 1주차,4.56,933위
인생을 바꾼 작은 습관,제21기 중견리더 과정,2024년 10월 4주차,4.56,942위
지속가능 행정을 위한 ESG,제21기 중견리더 과정,2024년 7월 2주차,4.56,942위
일본어B,제21기 중견리더 과정,2024년 3월 4주차,4.56,942위
숲속 자연 명상,제1기 지리산 천왕봉 힐링 과정,2024년 5월 2주차,4.56,942위
스마트폰 업무환경 최적화 하기,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.557692308,946위
인사말 작성,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.5575,947위
경남의 문화콘텐츠 산업 고용현황과 전망,제1기 경남 바로알기 과정,2024년 3월 1주차,4.5575,947위
소통과 갈등관리,제1기 6급 승진자 역량향상 과정,2024년 3월 4주차,4.5575,947위
경남의 도정과제공유(시군정책 이해를 통한 공감경남 만들기),제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.5575,947위
온나라시스템,제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.5575,947위
디지털·미래대응 교육 이해 및 실습,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5575,952위
세대공감 및 민원응대 역할연기,제4기 신규 임용(후보)자 과정,2024년 5월 4주차,4.5575,952위
"전자입찰, 전자계약",제1기 계약실무 과정,2024년 3월 2주차,4.5575,952위
"라탄공예-수료준비활동(전시, 발표 및 기획)",제21기 중견리더 과정,2024년 12월 1주차,4.555555556,955위
보고서 작성 및 기획역량 강화,제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.555,956위
e-호조 지출·회계실무,제4기 신규공무원 역량향상 심화 과정,2024년 6월 4주차,4.555,956위
경남의 도정과제 공유(시군정책 이해를 통한 공감 경남 만들기),제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.555,956위
명품바디만들기,제21기 중견리더 과정,2024년 8월 3주차,4.555,956위
직장 내 괴롭힘 예방,제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.553196649,960위
직장인을 위한 스트레칭,제3기 명품 스피치 과정,2024년 12월 3주차,4.552631579,961위
보도자료 작성실무,제8기 신규임용(후보)자 과정,2024년 10월 2주차,4.5525,962위
정책홍보에 대한 이해,제1기 홍보 실무 과정,2024년 5월 4주차,4.5525,962위
한글실무,제2기 신규공무원 역량향상 심화 과정,2024년 4월 3주차,4.5525,962위
성과중심 공직가치 함양,제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.5525,962위
회계실무,제9기 신규임용(후보)자 과정,2024년 10월 3주차,4.5525,962위
2024년 지역 부동산 전망,제3기 미래설계 과정,2024년 9월 2주차,4.5525,962위
가죽공예,제21기 중견리더 과정,2024년 5월 3주차,4.5525,962위
바람직한 공직관 실천,제21기 중견리더 과정,2024년 7월 1주차,4.5525,962위
영어C,제21기 중견리더 과정,2024년 9월 2주차,4.5525,962위
일본어A,제21기 중견리더 과정,2024년 8월 5주차,4.55,971위
일본어A,제21기 중견리더 과정,2024년 10월 5주차,4.55,972위
"현장 적응 실습(출장, 초과 등)",제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.55,972위
행정정보보호 및 사이버 위협 예방,제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.55,972위
스피치 스킬 향상,제21기 중견리더 과정,2024년 3월 1주차,4.55,972위
엑셀실무 스킬 UP,제4기 7·8급 승진자 역량향상 과정,2024년 9월 4주차,4.55,972위
한자,제21기 중견리더 과정,2024년 4월 1주차,4.55,972위
골프는 매너운동/스트레스 치유,제21기 중견리더 과정,2024년 7월 3주차,4.55,972위
갈등해결 및 성과창출 리더십,제6기 시·군 팀장 리더십 과정,2024년 10월 4주차,4.55,972위
영어B,제21기 중견리더 과정,2024년 6월 3주차,4.55,972위
보조금 실무,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.55,972위
공직가치 액션러닝(골든타임 119),제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.55,972위
성과중심 공직가치 함양,제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.55,972위
청탁금지법의 이해,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.55,972위
명품바디만들기,제21기 중견리더 과정,2024년 5월 1주차,4.55,972위
명품바디만들기,제21기 중견리더 과정,2024년 5월 2주차,4.55,972위
보조금실무,제1기 신규공무원 역량향상 심화 과정,2024년 3월 2주차,4.55,972위
우주항공산업과 경남의 미래,제2기 경남 바로 알기 과정,2024년 12월 2주차,4.55,988위
경남 관광산업 현황 및 발전방안 ,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.549836601,989위
공무원 노사관계의 이해,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.549465184,990위
차세대 지방재정관리 시스템,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.547979542,991위
4차 산업혁명과 이순신 리더십,제21기 중견리더 과정,2024년 7월 2주차,4.5475,992위
공직자 10대 행위기준 알아보기,제1기 공직자 이해충돌방지 과정,2024년 5월 3주차,4.5475,992위
일반서무 업무 알아보기,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.5475,992위
명품바디만들기,제21기 중견리더 과정,2024년 6월 2주차,4.5475,992위
보도자료 작성실무,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5475,996위
발표능력 기법 향상,제8기 신규임용(후보)자 과정,2024년 9월 4주차,4.5475,996위
예산실무,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.5475,996위
보고서 작성 및 기획역량 강화,제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.5475,996위
정리수납,제21기 중견리더 과정,2024년 4월 3주차,4.5475,996위
영어B,제21기 중견리더 과정,2024년 7월 2주차,4.5475,996위
OKR의 이해를 통한 목표설정,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.5475,996위
성과향상을 위한 피드백 스킬,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.5475,996위
회계실무,제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.546082949,1004위
중국어,제21기 중견리더 과정,2024년 3월 2주차,4.545,1005위
일본어A,제21기 중견리더 과정,2024년 5월 3주차,4.545,1005위
탁구,제21기 중견리더 과정,2024년 9월 2주차,4.545,1005위
보도자료 작성법,제2기 기획능력 향상 과정,2024년 6월 2주차,4.545,1005위
독도를 통한 올바른 역사인식,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.545,1005위
의전 행사 실무,제21기 중견리더 과정,2024년 6월 1주차,4.545,1005위
쉽게 활용하는 엑셀 팁,제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.545,1005위
명품바디만들기,제21기 중견리더 과정,2024년 4월 4주차,4.545,1005위
일본어A,제21기 중견리더 과정,2024년 5월 2주차,4.545,1013위
보도자료 작성실무,제5기 신규 임용(후보)자 과정,2024년 6월 2주차,4.5425,1014위
노무관리 관련 법률 및 근로기준법 주요사항,제1기 기간제 근로자 관리자 과정,2024년 3월 1주차,4.5425,1014위
발표능력 기법 향상,제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.5425,1014위
차세대지방재정관리시스템,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.5425,1014위
한자,제21기 중견리더 과정,2024년 3월 4주차,4.5425,1014위
의전행사기획,제21기 중견리더 과정,2024년 6월 1주차,4.5425,1014위
행정정보보호 및 사이버 위협 예방,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5425,1020위
경남의 비전과 주요정책,제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.5425,1020위
보고서 작성 및 기획역량 강화,제8기 신규임용(후보)자 과정,2024년 9월 4주차,4.5425,1020위
현장학습(도정과제 연계),제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.5425,1020위
가죽공예,제21기 중견리더 과정,2024년 8월 4주차,4.5425,1020위
생동감up 현장이야기(조직이야기),제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.541602663,1025위
일본어A,제21기 중견리더 과정,2024년 9월 2주차,4.54,1026위
디지털·미래대응 교육 이해 및 실습,제10기 신규 임용(후보)자 과정,2024년 11월 2주차,4.54,1026위
생동감up 현장이야기(조직이야기),제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.54,1026위
영어B,제21기 중견리더 과정,2024년 6월 2주차,4.54,1026위
공직가치 액션러닝(골든타임 119),제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.54,1026위
온나라시스템,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.54,1026위
긴급복지신고의무자 교육,제21기 중견리더 과정,2024년 10월 3주차,4.54,1026위
지방보조금 관리시스템 사용실무,제1기 예산회계실무 과정,2024년 3월 3주차,4.54,1026위
마음 열기,제3기 소통과 공감 과정,2024년 7월 1주차,4.54,1026위
자료 찾기 및 공유 앱 활용,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.538461538,1035위
업무효율을 높이는 윈도우 활용 기능,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.538461538,1035위
크롬을 이용한 인터넷 정보 수집 및 관리,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.538461538,1035위
업무 속도를 빠르게 도와주는 유틸리티 활용,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.538461538,1035위
댄스스포츠,제21기 중견리더 과정,2024년 4월 3주차,4.5375,1039위
홍보템플릿 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.5375,1040위
예산실무,제1기 예산회계실무 과정,2024년 3월 3주차,4.5375,1040위
디지털 미래 대응,제21기 중견리더 과정,2024년 3월 2주차,4.5375,1040위
트렌트 코리아 2024,제21기 중견리더 과정,2024년 7월 2주차,4.5375,1040위
재취업 분야 알아보기,제4기 미래설계 과정,2024년 11월 4주차,4.5375,1040위
open mind / 팀빌딩,제3기 신규 임용(후보)자 과정,2024년 4월 3주차,4.5375,1040위
공직가치 액션러닝(골든타임 119),제8기 신규임용(후보)자 과정,2024년 9월 4주차,4.5375,1040위
일본어A,제21기 중견리더 과정,2024년 9월 1주차,4.535,1047위
일본어A,제21기 중견리더 과정,2024년 10월 3주차,4.535,1047위
탁구,제21기 중견리더 과정,2024년 5월 5주차,4.535,1047위
성찰 및 비전 수립,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.535,1047위
생동감up 현장이야기(조직 이야기),제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.535,1047위
국제회의 이해 및 사례(현장경험 중심),제1기 MICE사업 유치 역량강화 과정,2024년 6월 3주차,4.535,1047위
아동권리 및 아동학대 예방,제21기 중견리더 과정,2024년 11월 2주차,4.535,1047위
댄스스포츠,제21기 중견리더 과정,2024년 10월 2주차,4.535,1047위
인사말 작성,제6기 신규공무원 역량향상 심화 과정,2024년 9월 4주차,4.535,1047위
기후위기와 탄소중립의 이해,제2기 기후위기 적응·대응 과정,2024년 10월 4주차,4.535,1047위
우수 일자리 정책 비교,제2기 경남 일자리 과정,2024년 10월 2주차,4.535,1047위
영어C,제21기 중견리더 과정,2024년 11월 5주차,4.535,1047위
일반서무 업무 알아보기,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5325,1059위
스마트폰 사진 촬영기법,제4기 미래설계 과정,2024년 11월 3주차,4.5325,1059위
민법,제21기 중견리더 과정,2024년 11월 5주차,4.5325,1059위
보고서 작성 기법 및 실습,제2기 기획능력 향상 과정,2024년 6월 2주차,4.5325,1062위
언론 오보에 대한 대응,제2기 홍보실무 과정,2024년 10월 3주차,4.5325,1062위
가죽공예,제21기 중견리더 과정,2024년 10월 3주차,4.5325,1062위
조직 내외 갈등해결 및 효율적 관리,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.53,1065위
탁구,제21기 중견리더 과정,2024년 7월 2주차,4.53,1065위
사진,제21기 중견리더 과정,2024년 5월 5주차,4.53,1065위
행사실무,제7기 신규공무원 역량향상 심화 과정,2024년 10월 3주차,4.53,1065위
홍보템플릿 실무,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.53,1065위
영어A,제21기 중견리더 과정,2024년 7월 2주차,4.53,1065위
일본어B,제21기 중견리더 과정,2024년 5월 1주차,4.53,1065위
성과향상을 위한 피드백 스킬,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.53,1065위
조직문화 개선 및 역할변화 강점 찾기,제1기 5급 관리자 리더십 과정,2024년 5월 1주차,4.53,1065위
청탁금지법의 이해,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.53,1065위
질병의 마침표 음식속에 해답이 있다,제21기 중견리더 과정,2024년 6월 3주차,4.53,1065위
회계 감사 지적사례,제1기 예산회계실무 과정,2024년 3월 3주차,4.53,1076위
일본어A,제21기 중견리더 과정,2024년 5월 4주차,4.53,1076위
지방자치단체의 투자유치 활성화 방안,제1기 투자유치 활성화 과정,2024년 5월 1주차,4.53,1076위
영어A,제21기 중견리더 과정,2024년 4월 3주차,4.53,1076위
영어A,제21기 중견리더 과정,2024년 5월 2주차,4.53,1076위
직장인을 위한 스트레칭,제1기 투자유치 활성화 과정,2024년 5월 1주차,4.53,1076위
쉽게 활용하는 한글 팁,제4기 신규 임용(후보)자 과정,2024년 5월 3주차,4.53,1076위
"간단한 인사말, 자기소개법",제1기 명품 스피치 과정,2024년 5월 1주차,4.53,1076위
영어B,제21기 중견리더 과정,2024년 5월 5주차,4.53,1076위
경남의 도정과제 공유(시군정책 이해를 통한 공감 경남 만들기),제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.53,1076위
차세대 지방재정관리 시스템,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.5275,1086위
헌법,제21기 중견리더 과정,2024년 3월 1주차,4.5275,1086위
나무와 꽃 이야기,제21기 중견리더 과정,2024년 11월 5주차,4.525,1088위
스토리텔링 활용 홍보전략,제1기 홍보 실무 과정,2024년 5월 4주차,4.525,1088위
일반서무 업무 알아보기,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.525,1088위
open mind / 팀빌딩,제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.525,1088위
발표능력 기법 향상,제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.525,1092위
스트레칭,제2기 항노화산업 탐방 과정,2024년 10월 3주차,4.525,1092위
[모의과제 실습] 구두발표,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.522875817,1094위
행복을 미루지 마세요,제21기 중견리더 과정,2024년 4월 1주차,4.5225,1095위
온나라시스템,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5225,1095위
직장 내 괴롭힘 예방,제10기 신규 임용(후보)자 과정,2024년 11월 4주차,4.5225,1095위
탁구,제21기 중견리더 과정,2024년 10월 4주차,4.5225,1095위
공무원 연금제도의 이해,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.5225,1095위
예산실무,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.5225,1095위
보고서 작성 실무,제7기 신규공무원 역량향상 심화 과정,2024년 10월 3주차,4.5225,1095위
목소리 진단 및 피드백,제1기 명품 스피치 과정,2024년 5월 1주차,4.5225,1095위
공무원 노사관계의 이해,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5225,1095위
알기쉬운 세무상식 및 절세전략,제3기 미래설계 과정,2024년 9월 2주차,4.5225,1095위
명품바디만들기,제21기 중견리더 과정,2024년 6월 1주차,4.5225,1095위
보도자료 작성법,제3기 기획능력 향상 과정,2024년 12월 2주차,4.52,1106위
연금제도 이해 및 퇴직 후 자산 관리,제1기 인생 2모작 준비 과정,2024년 7월 3주차,4.52,1107위
영어B,제21기 중견리더 과정,2024년 5월 4주차,4.52,1107위
인문학 콘서트,제3기 미래설계 과정,2024년 9월 2주차,4.52,1107위
경남의 비전과 주요정책,제9기 신규 임용(후보)자 과정,2024년 10월 5주차,4.52,1107위
긍정적 소통을 위한 힐링매직,제21기 중견리더 과정,2024년 10월 4주차,4.52,1107위
세대공감 및 민원응대에 대한 이해,제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.519871063,1112위
